172.16.68.1, 800000, up, echo-reply, 127.0, None, 3417538, Tue Oct  3 09:12:01 2017, None, 2, 257, Good luck!, Incremental, 100HZ, 1471.0, 933.0, 100000.0, 111, tcp, 6.73, 
172.16.68.2, 800000, up, echo-reply, 127.0, jiit-main.pdc.jiit, None, None, None, 2, 259, Good luck!, Incremental, zero timestamp, 1386.0, 1055.0, 100000.0, 111, tcp, 6.96, 
172.16.68.4, 800000, up, echo-reply, 127.0, None, None, None, None, 2, 259, Good luck!, Incremental, zero timestamp, 1916.0, 1057.0, 100000.0, 111, tcp, 7.69, 
172.16.68.5, 800000, up, echo-reply, 127.0, symantec.pdc.jiit, None, None, None, 2, 263, Good luck!, Busy server or unknown class, zero timestamp, 1163.0, 629.0, 100000.0, 111, tcp, 4.88, 
172.16.68.6, 800000, up, echo-reply, 63.0, None, None, None, 996, 2, 255, Good luck!, All zeros, none returned (unsupported), 1588.0, 1168.0, 100000.0, 22, tcp, 6.0, 
172.16.68.9, 800000, up, echo-reply, 127.0, license-server.pdc.jiit, None, None, None, 2, 252, Good luck!, Incremental, zero timestamp, 1646.0, 868.0, 100000.0, 111, tcp, 4.5600000000000005, 
172.16.68.10, 800000, up, echo-reply, 127.0, None, 7133657, Mon Aug 21 08:56:42 2017, None, 2, 250, Good luck!, Busy server or unknown class, 100HZ, 1566.0, 1606.0, 100000.0, 111, tcp, 7.82, 
172.16.68.11, 800000, up, echo-reply, 63.0, linux.pdc.jiit, 2146140, Wed Oct 18 02:21:59 2017, 982, 2, 193, Good luck!, All zeros, other, 3718.0, 3411.0, 100000.0, 80, tcp, 4.11, 
172.16.68.13, 800000, up, echo-reply, 127.0, jbsnameserver.pdc.jiit, 124252, Fri Nov 10 12:00:07 2017, None, 2, 256, Good luck!, Incremental, 100HZ, 2414.0, 1916.0, 100000.0, 111, tcp, 7.95, 
172.16.68.14, 800000, up, echo-reply, 127.0, oracle.pdc.jiit, None, None, None, 2, 251, Good luck!, Incremental, zero timestamp, 1992.0, 1338.0, 100000.0, 111, tcp, 7.48, 
172.16.68.15, 800000, up, echo-reply, 63.0, None, None, None, 996, 2, 262, Good luck!, All zeros, none returned (unsupported), 2157.0, 1225.0, 100000.0, 22, tcp, 6.7, 
172.16.68.18, 800000, up, echo-reply, 127.0, counselling.pdc.jiit, 10755587, Mon Jul 10 10:51:12 2017, None, 2, 253, Good luck!, Incremental, 100HZ, 1381.0, 512.0, 100000.0, 111, tcp, 5.4399999999999995, 
172.16.68.19, 800000, up, echo-reply, 127.0, crlog.pdc.jiit, None, None, None, 2, None, None, None, None, 1449.0, 542.0, 100000.0, 22, tcp, 5.29, 
172.16.68.21, 704000, up, echo-reply, 63.0, None, None, None, 1000, 2, None, None, None, None, 7687.0, 7917.0, 100000.0, None, icmp, 5.15, 
172.16.68.22, 704000, up, echo-reply, 63.0, None, None, None, 1000, 2, None, None, None, None, 4197.0, 3046.0, 100000.0, None, icmp, 6.640000000000001, 
172.16.68.25, 800000, up, echo-reply, 63.0, None, 270244, Wed Nov  8 19:26:55 2017, None, 2, 260, Good luck!, Incrementing by 2, 100HZ, 2164.0, 1488.0, 100000.0, 111, tcp, 5.9, 
172.16.68.29, 800000, up, echo-reply, 254.0, None, None, None, None, 2, None, None, None, None, 1401.0, 908.0, 100000.0, 111, tcp, 6.68, 
172.16.68.30, 800000, up, echo-reply, 127.0, fileserver2.pdc.jiit, 3418259, Tue Oct  3 09:00:00 2017, None, 2, 256, Good luck!, Busy server or unknown class, 100HZ, 2588.0, 2087.0, 100000.0, 111, tcp, 6.87, 
172.16.68.32, 800000, up, echo-reply, 63.0, None, 3773177, Fri Sep 29 06:24:42 2017, None, 2, 261, Good luck!, Incrementing by 2, 100HZ, 2028.0, 1133.0, 100000.0, 111, tcp, 6.04, 
